isbn,isbn13,authors,original_publication_year,original_title,average_rating,image_url
439023483,9.78043902348E+12,Suzanne Collins,2008.0,The Hunger Games,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg
439554934,9.78043955493E+12,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,4.44,https://images.gr-assets.com/books/1474154022m/3.jpg
316015849,9.78031601584E+12,Stephenie Meyer,2005.0,Twilight,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg
61120081,9.78006112008E+12,Harper Lee,1960.0,To Kill a Mockingbird,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg
743273567,9.78074327356E+12,F. Scott Fitzgerald,1925.0,The Great Gatsby,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg
525478817,9.78052547881E+12,John Green,2012.0,The Fault in Our Stars,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg
618260307,9.7806182603E+12,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg
316769177,9.78031676917E+12,J.D. Salinger,1951.0,The Catcher in the Rye,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg
1416524797,9.78141652479E+12,Dan Brown,2000.0,Angels & Demons ,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg
679783261,9.78067978327E+12,Jane Austen,1813.0,Pride and Prejudice,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg
1594480001,9.78159448E+12,Khaled Hosseini,2003.0,The Kite Runner ,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg
62024035,9.78006202404E+12,Veronica Roth,2011.0,Divergent,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg
451524934,9.78045152494E+12,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg
452284244,9.78045228424E+12,George Orwell,1945.0,Animal Farm: A Fairy Story,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg
553296981,9.78055329698E+12,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg
307269752,9.78030726975E+12,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg
439023491,9.7804390235E+12,Suzanne Collins,2009.0,Catching Fire,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg
043965548X,9.78043965548E+12,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,4.53,https://images.gr-assets.com/books/1499277281m/5.jpg
618346252,9.78061834626E+12,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg
439023513,9.78043902351E+12,Suzanne Collins,2010.0,Mockingjay,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg
439358078,9.78043935807E+12,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,4.46,https://images.gr-assets.com/books/1387141547m/2.jpg
316166685,9.78031616668E+12,Alice Sebold,2002.0,The Lovely Bones,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg
439064864,9.78043906487E+12,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg
439139600,9.7804391396E+12,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,4.53,https://images.gr-assets.com/books/1361482611m/6.jpg
545010225,9.78054501022E+12,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg
307277674,9.78030727767E+12,Dan Brown,2003.0,The Da Vinci Code,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg
439785960,9.78043978597E+12,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,4.54,https://images.gr-assets.com/books/1361039191m/1.jpg
140283331,9.78014028333E+12,William Golding,1954.0,Lord of the Flies ,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg
743477111,9.78074347712E+12,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg
297859382,9.78029785938E+12,Gillian Flynn,2012.0,Gone Girl,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg
399155341,9.78039915534E+12,Kathryn Stockett,2009.0,The Help,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg
142000671,9.78014200067E+12,John Steinbeck,1937.0,Of Mice and Men ,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg
739326228,9.78073932622E+12,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1612130291,9.78161213029E+12,E.L. James,2011.0,Fifty Shades of Grey,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg
61122416,9.78006112242E+12,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg
385732554,9.78038573255E+12,Lois Lowry,1993.0,The Giver,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg
60764899,9.78006076489E+12,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe",4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg
965818675,9.78096581867E+12,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg
553588486,9.78055358848E+12,George R.R. Martin,1996.0,A Game of Thrones,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg
143038419,9.78014303841E+12,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg
786838655,9.78078683865E+12,Rick Riordan,2005.0,The Lightning Thief,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg
451529308,9.7804515293E+12,Louisa May Alcott,1868.0,Little Women,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
142437204,9.78014243721E+12,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg
553816713,9.78055381672E+12,Nicholas Sparks,1996.0,The Notebook,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg
770430074,9.78077043008E+12,Yann Martel,2001.0,Life of Pi,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg
1565125606,9.7815651256E+12,Sara Gruen,2006.0,Water for Elephants,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg
375831002,9.780375831E+12,Markus Zusak,2005.0,The Book Thief,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg
307347974,9.78030734798E+12,Ray Bradbury,1953.0,Fahrenheit 451,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg
316160199,9.78031616019E+12,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg
60513039,9.78006051303E+12,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg
1416914285,9.78141691428E+12,Cassandra Clare,2007.0,City of Bones,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg
316160202,9.78031616021E+12,Stephenie Meyer,2007.0,Eclipse,3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg
375826696,9.7803758267E+12,Christopher Paolini,2002.0,Eragon,3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg
345391802,9.7803453918E+12,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg
60929871,9.78006092988E+12,Aldous Huxley,1932.0,Brave New World,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg
031606792X,9.78031606793E+12,Stephenie Meyer,2008.0,Breaking Dawn,3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg
142001740,9.78014200174E+12,Sue Monk Kidd,2001.0,The Secret Life of Bees,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg
142437174,9.78014243718E+12,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg
64410935,9.78006441094E+12,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg
1400032717,9.78140003272E+12,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg
1594633665,9.78159463367E+12,Paula Hawkins,2015.0,The Girl on the Train,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg
679879242,9.78067987924E+12,Philip Pullman,1995.0,Northern Lights,3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg
393978893,9.7803939789E+12,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
743454537,9.78074345454E+12,Jodi Picoult,2004.0,My Sister's Keeper,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg
385333846,9.78038533385E+12,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg
446675539,9.78044667554E+12,Margaret Mitchell,1936.0,Gone with the Wind,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg
1594489505,9.7815944895E+12,Khaled Hosseini,2007.0,A Thousand Splendid Suns,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg
671027344,9.78067102735E+12,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg
7442912,9.78000744291E+12,Veronica Roth,2012.0,Insurgent,4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg
812550706,9.7808125507E+12,Orson Scott Card,1985.0,Ender's Game,4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg
141439475,9.78014143947E+12,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg
450040186,9.78045004018E+12,Stephen King,1977.0,The Shining,4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg
316068047,9.78031606805E+12,Stephenie Meyer,2008.0,The Host,3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg
142402516,9.78014240251E+12,John Green,2005.0,Looking for Alaska,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg
014028009X,9.7801402801E+12,Helen Fielding,1996.0,,3.75,https://images.gr-assets.com/books/1292060045m/227443.jpg
141439661,9.78014143966E+12,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg
439244196,9.78043924419E+12,"Louis Sachar, Louis Sachar",1998.0,Holes,3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg
307275558,9.78030727555E+12,Lauren Weisberger,2003.0,The Devil Wears Prada,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143039954,9.78014303995E+12,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg
156012197,9.7801560122E+12,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg
074324754X,9.78074324754E+12,Jeannette Walls,2005.0,The Glass Castle,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg
385486804,9.7803854868E+12,Jon Krakauer,1996.0,Into the Wild,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg
141439602,9.7801414396E+12,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg
030734813X,9.78030734814E+12,Michael Crichton,1990.0,Jurassic Park,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
60256656,9.78006025665E+12,Shel Silverstein,1964.0,The Giving Tree,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg
385338600,9.78038533861E+12,John Grisham,1989.0,A Time to Kill,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
374500010,9.78037450002E+12,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg
014241493X,9.78014241493E+12,John Green,2008.0,Paper Towns,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg
345418263,9.78034541826E+12,William Goldman,1973.0,The Princess Bride,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg
014038572X,9.78014038572E+12,S.E. Hinton,1967.0,The Outsiders,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg
385737947,9.78038573794E+12,James Dashner,2009.0,The Maze Runner,4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg
61234001,9.780061234E+12,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg
517189607,9.7805171896E+12,Frances Hodgson Burnett,1911.0,The Secret Garden,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg
60531045,9.78006053104E+12,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,4.04,https://images.gr-assets.com/books/1327881361m/320.jpg
375751513,9.78037575152E+12,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg
345803507,9.7803458035E+12,E.L. James,2012.0,Fifty Shades Freed,3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg
393970124,9.78039397013E+12,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg
307269981,9.78030726998E+12,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg
1612130585,9.78161213058E+12,E.L. James,2011.0,Fifty Shades Darker,3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg
